Balls,Threads,Time,Clear time,Add to grid time,Collision time
50000,1,0.027175,0.001930,0.017789,0.007456
50000,2,0.025309,0.002538,0.017361,0.005410
50000,3,0.018447,0.002051,0.012650,0.003746
50000,4,0.014976,0.001627,0.010205,0.003144
50000,5,0.013204,0.001542,0.008755,0.002907
50000,6,0.010942,0.001318,0.007403,0.002221
50000,7,0.012790,0.001494,0.008734,0.002562
50000,8,0.011550,0.001317,0.007964,0.002270
50000,9,0.010588,0.001195,0.007252,0.002141
50000,10,0.009478,0.001075,0.006539,0.001864
50000,11,0.008858,0.001026,0.006057,0.001775
50000,12,0.007999,0.000910,0.005508,0.001582
50000,13,0.007342,0.000827,0.004974,0.001541
50000,14,0.007175,0.000784,0.004845,0.001547
50000,15,0.006654,0.000755,0.004576,0.001324
50000,16,0.006338,0.000739,0.004341,0.001258
50000,17,0.006457,0.000700,0.004422,0.001335
50000,18,0.006490,0.000661,0.004596,0.001233
50000,19,0.006508,0.000741,0.004578,0.001190
50000,20,0.006349,0.000879,0.004074,0.001395
50000,21,0.006444,0.000746,0.004613,0.001085
50000,22,0.007100,0.000603,0.004677,0.001820
50000,23,0.006448,0.000554,0.004489,0.001405
50000,24,0.006884,0.001523,0.003199,0.002162
50000,25,0.006363,0.001225,0.004068,0.001070
50000,26,0.006413,0.000768,0.004327,0.001318
50000,27,0.006394,0.001043,0.004035,0.001317
50000,28,0.007320,0.000810,0.005635,0.000876
50000,29,0.007738,0.000855,0.005630,0.001253
50000,30,0.007596,0.001199,0.004078,0.002319
50000,31,0.007458,0.001562,0.003942,0.001955
50000,32,0.007495,0.000857,0.004174,0.002464
